S,1,2;100;80;60;55;90
S,2,2;100.18;80.51;60.05;54.9;90.13
S,3,2;100.5;80.21;60.38;54.7;90.26
S,4,2;100.75;80.75;59.66;54.63;90.36
S,5,2;101.13;80.97;60.68;54.63;90.26;ML;-1700;62.73;COMPETITIVE;B
S,6,2;100.62;80.5;60.93;53.98;90.22
S,7,2;100.53;80.45;60.51;53.52;90.33
S,8,2;101.15;81.89;61.65;53.7;90.42;JLG;1100;83.85;PRIVATE;C
S,9,2;101.1;81.63;61.06;53.56;90.51
S,10,2;100.88;81.89;61.42;53.45;90.32
S,11,2;100.38;81.33;60.18;53.02;90.33;ML;-2000;60.11;PRIVATE;A
S,12,2;99.7;80.67;60.25;52.69;90.37
S,13,2;99.44;79.88;60.11;52.89;90.39
S,14,2;99.29;79.94;60.33;52.5;90.38;JLG;-1300;81.74;PRIVATE;B
S,15,2;99.1;79.78;59.83;51.99;90.33
S,16,2;98.93;79.11;59.7;52.1;90.24
S,17,2;98.47;78.28;58.7;52.12;90.17;OIL;-1500;51.69;PRIVATE;A
S,18,2;99.2;78.98;61.14;52.03;90.17
S,19,2;98.74;79.02;60.89;51.65;90.09
S,20,2;98.25;78.25;59.48;51.83;90.03;OIL;-1800;51.67;PRIVATE;A
S,21,2;99.38;78.79;60.64;52.04;90.35
S,22,2;98.56;77.85;58.48;51.58;90.27
S,23,2;98.6;77.89;58.48;51.52;90.33;ML;-1000;61.69;PRIVATE;B
S,24,2;97.95;77.2;57.76;51.48;90.15
S,25,2;98.29;77.86;56.98;51.58;90.19
S,26,2;97.61;76.87;55.64;51.06;90.19;WTR;1800;92.77;PRIVATE;C
S,27,2;98.32;78.16;56.12;51.69;90.21
S,28,2;98.55;78.56;56.95;51.76;90.27
S,29,2;98.73;78.81;57.42;51.75;90.31;ML;-8000;55.29;PRIVATE;A
S,30,2;98.84;79.41;56.76;52.04;90.31
S,31,2;98.41;78.76;56.48;51.35;90.42
S,32,2;98.74;79.24;55.58;51.65;90.48;OIL;-1800;51.15;PRIVATE;A
S,33,2;98.3;79.02;54.58;51.51;90.21
S,34,2;98.69;79.69;54.41;51.55;90.3
S,35,2;99.19;80.15;53.74;51.68;90.42;ML;-4000;55.81;PRIVATE;C
S,36,2;99.01;80.11;53.32;51.53;90.38
S,37,2;98.72;79.84;54.18;50.93;90.43
S,38,2;99.19;80.56;55.6;50.85;90.49;ML;1900;57.89;COMPETITIVE;C
S,39,2;98.72;80.21;56.07;50.66;90.33
S,40,2;98.57;80.3;55.7;50.65;90.28
S,41,2;98.51;80.07;55.56;50.59;90.25;WTR;-1100;89.75;PRIVATE;A
S,42,2;98.38;80.42;54.03;51.01;90.26
S,43,2;97.85;79.75;53.19;51.13;90.11
S,44,2;97.72;79.7;52.71;51.22;90.07;OIL;-1800;52.11;PRIVATE;B
S,45,2;97.8;79.68;51.9;51.51;89.97
S,46,2;97.44;79.07;52.53;51.37;89.77
S,47,2;96.73;78.6;51.9;50.84;89.58;JLG;-1700;77.86;PRIVATE;A
S,48,2;96.33;77.65;52.95;51.19;89.42
S,49,2;96.14;77.82;52.9;51.09;89.41
S,50,2;95.74;77.54;52.73;50.95;89.28;ML;-1300;54.64;PRIVATE;C
S,51,2;95.43;77.15;52.27;51.4;89.15
S,52,2;95.76;78.01;51.96;51.57;89.15
S,53,2;95.1;77.48;51.91;51.44;88.83;JLG;4000;79.45;PRIVATE;B
S,54,2;95.72;78.23;51.56;51.73;89
S,55,2;95.06;77.05;49.77;51.49;89.05
